CountryKey;Department;Total Revenues;Total Spend
AA;APP;2707.853403;11734.39196
AA;BM;3720.712843;14992.78992
AA;DEA;335.7416268;807.8219895
AA;SEM;6179.693172;15671.79058
AA;SEO;1206.5625;0
AE;APP;6021.665305;6148.069263
AE;BM;13187.25275;14063.01312
AE;DEA;622.5810903;965.5611191
AE;SEM;4248.346154;6320.66857
AE;SEO;2795.317007;0
ALL;APP;336821.128;147807.7612
ALL;BM;3208523.876;3827076.048
ALL;DEA;441246.543;474024.6633
ALL;SEM;2088509.171;2266552.195
ALL;SEO;514803.06;0
AR;APP;517.7475728;826.5085715
AR;BM;6289.853659;16118.79654
AR;DEA;1099.62406;1356.285714
AR;SEM;3173.705357;7152.096662
AR;SEO;823.4747897;0
AT;APP;3125.625;1854.588235
AT;BM;38961.72543;52322.5314
AT;DEA;2541.39267;2041.643564
AT;SEM;41131.97467;35329.99275
AT;SEO;6937.633927;0
AU;APP;11925.4966;5876.004464
AU;BM;94599.6;78312.31167
AU;DEA;8912.888889;11380.70588
AU;SEM;49510.63539;50135.02169
AU;SEO;28344.92566;0
BE;APP;1444.183568;270.8857143
BE;BM;21685.44118;29051.81504
BE;DEA;5514.91456;10068.57741
BE;SEM;16905.22648;18320.8483
BE;SEO;3765.411765;0
BG;APP;100.4975124;0
BG;BM;3192.192931;3569.264069
BG;DEA;1.68641115;0
BG;SEM;4824.992483;6339.040292
BG;SEO;571.2857143;0
BR;APP;6665.256258;4995.80588
BR;BM;60401.13089;81261.83971
BR;DEA;4232.242783;7014.813512
BR;SEM;31532.13725;45968.84422
BR;SEO;9949.792337;0
CA;APP;11962.54533;9229.803483
CA;BM;150048.0097;97401.23077
CA;DEA;14092.16117;11606.02356
CA;SEM;100475.5127;97966.2
CA;SEO;17187.81324;0
CH;APP;4042.943005;1209.714286
CH;BM;37492.30183;57865.06704
CH;DEA;1548.781726;1594.671429
CH;SEM;39797.12143;37232.1203
CH;SEO;6681.697145;0
CL;APP;109.1927878;139.6428571
CL;BM;855.6559765;324.8681319
CL;DEA;241.2437811;320.0696157
CL;SEM;960.7792206;2444.278846
CL;SEO;223.5659341;0
CN;APP;858.5373798;51.0973703
CN;BM;505.9516484;13335.31371
CN;DEA;0.870195794;0
CN;SEM;178.8734694;1425.059583
CN;SEO;192.8174983;0
CO;APP;635.4433751;165.4545455
CO;BM;5861.251566;14497.63393
CO;DEA;471.3875598;1819.666425
CO;SEM;3573.073171;7401.306123
CO;SEO;998.9863948;0
CZ;APP;288;55.67346938
CZ;BM;5046.067961;8998.717088
CZ;DEA;857.2307692;1041.384389
CZ;SEM;6149.96299;7191.803922
CZ;SEO;727.1555241;0
DE;APP;30965.35644;9595.213579
DE;BM;372232.5863;313241.3646
DE;DEA;61392.54657;57854.72879
DE;SEM;254041.2987;238139.8829
DE;SEO;64215.42857;0
DK;APP;2587.068262;181.4745644
DK;BM;31728.34632;42763.22117
DK;DEA;4143.131868;6768.422111
DK;SEM;35519.16472;28106.68843
