Country,Month,Department,Total Revenues,Total Spend,
AA,01/01/2019,APP,0,0,
AA,01/02/2019,APP,0.97272672,0,
AA,01/03/2019,APP,280.7603524,0,
AA,01/04/2019,APP,592.4083845,0,
AA,01/05/2019,APP,1656.125121,5172.095855,
AA,01/06/2019,APP,2878.2021,10622.367,
AA,01/07/2019,APP,3514.432731,707.6373715,
AA,01/08/2019,APP,2710.105851,994.3714285,
AA,01/09/2019,APP,2300.187514,154.7485715,
AA,01/10/2019,APP,1335.238238,626.527157,
AA,01/11/2019,APP,1140.931783,968.2228285,
AA,01/12/2019,APP,1157.59713,5036.161455,
AA,01/01/2020,APP,10570.64525,9489.764955,
AA,01/02/2020,APP,9512.664835,10193.63043,
AA,01/03/2020,APP,11110.747,7521.799655,
AA,01/04/2020,APP,12900.41095,9019.502605,
AA,01/05/2020,APP,9943.466195,7249.376325,
AA,01/06/2020,APP,13034.01822,7600.4434,
AA,01/07/2020,APP,17227.65974,12052.24648,
AA,01/08/2020,APP,12598.99625,10154.89813,
AA,01/09/2020,APP,14599.94049,9340.766945,
AA,01/10/2020,APP,11094.04478,9666.89413,
AA,01/11/2020,APP,13140.85094,10074.78893,
AA,01/12/2020,APP,10396.63807,13679.39136,
AE,01/01/2019,APP,2188.041429,0,
AE,01/02/2019,APP,1348.21739,0,
AE,01/03/2019,APP,2189.295429,127.1374,
AE,01/04/2019,APP,2115.557714,532.0203425,
AE,01/05/2019,APP,3745.946349,1684.329643,
AE,01/06/2019,APP,5981.55158,6410.76557,
AE,01/07/2019,APP,8131.98932,5023.877485,
AE,01/08/2019,APP,5930.64281,2602.4622,
AE,01/09/2019,APP,6927.631335,3108.252343,
AE,01/10/2019,APP,3802.652685,2979.659572,
AE,01/11/2019,APP,4686.144036,3206.928543,
AE,01/12/2019,APP,4282.180032,835.1655715,
AE,01/01/2020,APP,12317.81499,13234.56012,
AE,01/02/2020,APP,15720.8544,10060.72379,
AE,01/03/2020,APP,12540.9751,11574.16044,
AE,01/04/2020,APP,14870.10489,9231.096285,
AE,01/05/2020,APP,13885.65204,9125.68549,
AE,01/06/2020,APP,16363.90511,10047.88758,
AE,01/07/2020,APP,20052.58242,11072.37109,
AE,01/08/2020,APP,16067.00655,13471.11687,
AE,01/09/2020,APP,17301.21749,9682.736615,
AE,01/10/2020,APP,13847.33718,13679.43901,
AE,01/11/2020,APP,14155.13965,11541.17978,
AE,01/12/2020,APP,13424.27118,12982.1001,
AR,01/01/2019,APP,118.1490285,0,
AR,01/02/2019,APP,133.20486,0,
AR,01/03/2019,APP,156.2078573,0,
AR,01/04/2019,APP,120.8295516,0,
AR,01/05/2019,APP,292.864643,22.8514,
AR,01/06/2019,APP,466.3889005,885.366,
AR,01/07/2019,APP,586.24042,0,
AR,01/08/2019,APP,574.6237855,0.52520013,
AR,01/09/2019,APP,658.082969,0,
AR,01/10/2019,APP,953.34855,140.1698573,
AR,01/11/2019,APP,1106.038405,762.5730855,
AR,01/12/2019,APP,1658.698457,455.8889142,
AR,01/01/2020,APP,926.8456325,530.546387,
AR,01/02/2020,APP,1241.370141,470.1123964,
AR,01/03/2020,APP,796.5247395,498.2638865,
AR,01/04/2020,APP,617.1891825,495.7213711,
AR,01/05/2020,APP,613.9330215,359.0399526,
AR,01/06/2020,APP,654.7018185,389.4657213,
AR,01/07/2020,APP,516.915926,533.2083875,
AR,01/08/2020,APP,833.214577,574.869239,
AR,01/09/2020,APP,632.7221935,522.851853,
AR,01/10/2020,APP,698.4599445,666.0043445,
AR,01/11/2020,APP,723.651108,543.973766,
AR,01/12/2020,APP,751.9455015,642.5491325,
AT,01/01/2019,APP,2623.425736,0,
AT,01/02/2019,APP,2471.75916,0,
AT,01/03/2019,APP,2706.552562,0,
AT,01/04/2019,APP,2130.015004,48.91862872,
AT,01/05/2019,APP,2833.913644,300.8688858,
AT,01/06/2019,APP,3332.614992,2061.9312,
AT,01/07/2019,APP,3839.130981,405.4361142,
AT,01/08/2019,APP,3526.98054,778.623,
AT,01/09/2019,APP,2358.775715,241.4806288,
