Country,Month,Department,Total Revenues,Total Spend,
AA,01/01/2019,BM,0,0,
AA,01/02/2019,BM,1346.603916,2798.676,
AA,01/03/2019,BM,2292.68715,14258.0494,
AA,01/04/2019,BM,3097.576965,16471.23029,
AA,01/05/2019,BM,3657.353071,20407.452,
AA,01/06/2019,BM,3909.804511,13189.212,
AA,01/07/2019,BM,7755.368845,22509.99737,
AA,01/08/2019,BM,6762.32946,19819.9924,
AA,01/09/2019,BM,6740.32128,19555.55846,
AA,01/10/2019,BM,3010.101141,2694.1265,
AA,01/11/2019,BM,2553.774569,7481.628015,
AA,01/12/2019,BM,2317.617054,6906.3148,
AA,01/01/2020,BM,16050,40329.31162,
AA,01/02/2020,BM,15090.42857,35364.73796,
AA,01/03/2020,BM,17314.28572,38401.58605,
AA,01/04/2020,BM,18214.28572,35733.85043,
AA,01/05/2020,BM,16575,39050.61529,
AA,01/06/2020,BM,21041.42857,44222.01142,
AA,01/07/2020,BM,17051.21429,33114.36005,
AA,01/08/2020,BM,14312.57143,37243.60019,
AA,01/09/2020,BM,12214.28572,24336.10039,
AA,01/10/2020,BM,12836.57143,22954.76062,
AA,01/11/2020,BM,12343.21429,20426.21472,
AA,01/12/2020,BM,13772.42857,23930.9184,
AE,01/01/2019,BM,5629.811315,3743.122286,
AE,01/02/2019,BM,4688.204652,5610.42857,
AE,01/03/2019,BM,7015.7619,5596.1024,
AE,01/04/2019,BM,7141.17299,4501.6356,
AE,01/05/2019,BM,10014.86151,7087.9347,
AE,01/06/2019,BM,11700.40112,11431.02857,
AE,01/07/2019,BM,15013.3973,11846.65157,
AE,01/08/2019,BM,11479.93568,13141.43396,
AE,01/09/2019,BM,11571.10318,6143.696915,
AE,01/10/2019,BM,5585.75784,995.629143,
AE,01/11/2019,BM,6295.27101,2749.790058,
AE,01/12/2019,BM,6812.95462,3039.4868,
AE,01/01/2020,BM,18786,17765.41094,
AE,01/02/2020,BM,19864.28572,17982.31694,
AE,01/03/2020,BM,21617.14286,19668.16015,
AE,01/04/2020,BM,20357.14286,20060.8665,
AE,01/05/2020,BM,22408.57143,21690.42931,
AE,01/06/2020,BM,26305.71429,27902.56255,
AE,01/07/2020,BM,21840,23676.60301,
AE,01/08/2020,BM,22385.92857,21746.75621,
AE,01/09/2020,BM,20444.64286,11501.8787,
AE,01/10/2020,BM,18975,11797.35576,
AE,01/11/2020,BM,16100,9147.092785,
AE,01/12/2020,BM,16413.78572,10419.93917,
AR,01/01/2019,BM,2876.346765,4175.3068,
AR,01/02/2019,BM,3428.091103,5750.714285,
AR,01/03/2019,BM,4436.107193,14389.26172,
AR,01/04/2019,BM,3427.319674,0,
AR,01/05/2019,BM,5101.47281,11982.93737,
AR,01/06/2019,BM,5661.7536,16955.28267,
AR,01/07/2019,BM,10487.91423,19903.74872,
AR,01/08/2019,BM,12349.0956,12681.9264,
AR,01/09/2019,BM,12266.30611,14631.2244,
AR,01/10/2019,BM,14199.21117,10868.468,
AR,01/11/2019,BM,22335.19084,14295.22286,
AR,01/12/2019,BM,26853.87466,27270.25715,
AR,01/01/2020,BM,26938.28572,51789.1212,
AR,01/02/2020,BM,27437.14286,47232.19351,
AR,01/03/2020,BM,19702.42857,24315.03315,
AR,01/04/2020,BM,20177.14286,22427.01998,
AR,01/05/2020,BM,21504,26366.18004,
AR,01/06/2020,BM,27544.85715,27465.87917,
AR,01/07/2020,BM,25004,29303.77124,
AR,01/08/2020,BM,28468.57143,31378.22216,
AR,01/09/2020,BM,26660.57143,29536.77184,
AR,01/10/2020,BM,20571.42857,23199.87639,
AR,01/11/2020,BM,22921.14286,27631.63018,
AR,01/12/2020,BM,24336,33938.28605,
AT,01/01/2019,BM,51731.50725,58833.1796,
AT,01/02/2019,BM,37914.16095,44512.73143,
AT,01/03/2019,BM,48599.3012,28379.60872,
AT,01/04/2019,BM,37454.27235,40249.41143,
AT,01/05/2019,BM,44698.95729,46151.73383,
AT,01/06/2019,BM,34203.81495,45190.584,
AT,01/07/2019,BM,41970.39215,59312.604,
AT,01/08/2019,BM,44249.14035,54291.341,
AT,01/09/2019,BM,27617.86857,36736.7906,
AT,01/10/2019,BM,24817.02455,30624.99583,
AT,01/11/2019,BM,20131.91833,52.20401435,
AT,01/12/2019,BM,17523.81303,13535.72277,
AT,01/01/2020,BM,49005,54829.93965,
AT,01/02/2020,BM,42560,54278.93205,
AT,01/03/2020,BM,43871.14286,54292.65085,
AT,01/04/2020,BM,44512,51578.39175,
AT,01/05/2020,BM,49057.14286,55808.5524,
AT,01/06/2020,BM,50400,63511.5444,
AT,01/07/2020,BM,54285.7143,57008.0564,
AT,01/08/2020,BM,54874.2857,70641.16295,
AT,01/09/2020,BM,57168.57145,42210.49812,
AT,01/10/2020,BM,37457.14286,29649.43908,
AT,01/11/2020,BM,41897.14286,14581.39326,
AT,01/12/2020,BM,41250,17803.96584,
AU,01/01/2019,BM,170053.9269,165381.1029,
AU,01/02/2019,BM,127599.0493,155516.064,
AU,01/03/2019,BM,145835.6653,73215.1056,
AU,01/04/2019,BM,108732.6039,94549.5167,
AU,01/05/2019,BM,117602.5771,85519.2461,
AU,01/06/2019,BM,85747.7682,70796.1161,
AU,01/07/2019,BM,94600.31225,78486.375,
AU,01/08/2019,BM,81502.6611,69756.5635,
AU,01/09/2019,BM,83233.61635,60610.815,
AU,01/10/2019,BM,71070.692,54988.584,
AU,01/11/2019,BM,76904.2799,62388.10685,
AU,01/12/2019,BM,90784.04485,169187.3229,
AU,01/01/2020,BM,201600,172183.4645,
AU,01/02/2020,BM,196251.4286,132633.784,
AU,01/03/2020,BM,174857.1429,111608.8422,
AU,01/04/2020,BM,173460,113905.9681,
AU,01/05/2020,BM,149795.7143,92193.40155,
AU,01/06/2020,BM,123364.2857,87637.83815,
AU,01/07/2020,BM,113725.7143,74769.93175,
AU,01/08/2020,BM,106617.8572,73900.40175,
AU,01/09/2020,BM,99840,77220.31855,
AU,01/10/2020,BM,95760,73600.97845,
AU,01/11/2020,BM,124571.4286,100598.0537,
AU,01/12/2020,BM,173485.7143,146613.3958,
