Country,Month,Department,Total Revenues,Total Spend
AA,01/01/2019,DEA,0,0
AA,01/02/2019,DEA,6.84655721,0
AA,01/03/2019,DEA,92.40518595,0
AA,01/04/2019,DEA,23.99295,0
AA,01/05/2019,DEA,161.5761145,248.9257142
AA,01/06/2019,DEA,354.0331927,647.14
AA,01/07/2019,DEA,1267.561182,1329.189714
AA,01/08/2019,DEA,2062.480026,2690.4852
AA,01/09/2019,DEA,1829.511358,2300.525715
AA,01/10/2019,DEA,2548.906553,2217.3618
AA,01/11/2019,DEA,2182.846649,1595.299714
AA,01/12/2019,DEA,3170.284676,2586.884143
AA,01/01/2020,DEA,2392.258362,3028.815104
AA,01/02/2020,DEA,2042.385771,2538.53591
AA,01/03/2020,DEA,2609.780921,3195.95285
AA,01/04/2020,DEA,2145.512164,2816.280231
AA,01/05/2020,DEA,2570.1341,3130.708452
AA,01/06/2020,DEA,2420.100825,3351.124851
AA,01/07/2020,DEA,2777.460219,3685.913011
AA,01/08/2020,DEA,2731.613951,3945.278475
AA,01/09/2020,DEA,2370.877256,2931.574038
AA,01/10/2020,DEA,2638.108732,3720.177994
AA,01/11/2020,DEA,2636.755694,2968.637309
AA,01/12/2020,DEA,2207.097294,3082.994746
AE,01/01/2019,DEA,7.744290355,0
AE,01/02/2019,DEA,80.16174235,81.15714295
AE,01/03/2019,DEA,268.9842855,498.6215285
AE,01/04/2019,DEA,516.1627265,551.2429715
AE,01/05/2019,DEA,684.9413625,801.441714
AE,01/06/2019,DEA,586.0882285,917.1257145
AE,01/07/2019,DEA,2021.556575,1538.573829
AE,01/08/2019,DEA,1829.515361,1817.255
AE,01/09/2019,DEA,1481.709477,1851.969429
AE,01/10/2019,DEA,804.12321,1426.448572
AE,01/11/2019,DEA,788.5172445,1288.635943
AE,01/12/2019,DEA,1065.896794,1331.625
AE,01/01/2020,DEA,2620.147734,3755.150997
AE,01/02/2020,DEA,2287.242671,3467.93718
AE,01/03/2020,DEA,2689.083416,4124.889108
AE,01/04/2020,DEA,2356.588334,3395.548019
AE,01/05/2020,DEA,3073.785391,3891.964713
AE,01/06/2020,DEA,2803.298968,4174.582697
AE,01/07/2020,DEA,3180.662313,3982.214825
AE,01/08/2020,DEA,2819.342677,3525.786257
AE,01/09/2020,DEA,2384.433162,3587.039721
AE,01/10/2020,DEA,3131.685103,5013.688545
AE,01/11/2020,DEA,2280.741373,4158.437847
AE,01/12/2020,DEA,2234.117088,3509.701485
AR,01/01/2019,DEA,1146.132425,1783.8576
AR,01/02/2019,DEA,1025.86787,1198.600072
AR,01/03/2019,DEA,642.253704,917.459257
AR,01/04/2019,DEA,450.15047,789.45
AR,01/05/2019,DEA,930.6217,1229.156386
AR,01/06/2019,DEA,1265.220615,1409.2
AR,01/07/2019,DEA,2013.006044,2039.478572
AR,01/08/2019,DEA,2038.943571,2412.601429
AR,01/09/2019,DEA,1781.708832,1817.0954
AR,01/10/2019,DEA,2802.13074,1387.562829
AR,01/11/2019,DEA,6197.157315,5483.11623
AR,01/12/2019,DEA,6373.16054,6427.497145
AR,01/01/2020,DEA,3222.857143,3428.228572
AR,01/02/2020,DEA,2943.428572,2687.177143
AR,01/03/2020,DEA,1527.857143,2044.528572
AR,01/04/2020,DEA,1571.428572,1620.285715
