Country,Month,Department,Total Revenues,Total Spend
AA,01/01/2019,SEM,0,0
AA,01/02/2019,SEM,53.140815,0
AA,01/03/2019,SEM,795.462629,164.5230859
AA,01/04/2019,SEM,940.326552,0
AA,01/05/2019,SEM,2015.662444,3254.0378
AA,01/06/2019,SEM,6558.048135,0
AA,01/07/2019,SEM,17347.01155,34749.56983
AA,01/08/2019,SEM,14392.48846,23365.66977
AA,01/09/2019,SEM,8403.43165,12535.5087
AA,01/10/2019,SEM,4327.1763,6120.559545
AA,01/11/2019,SEM,3746.530716,3794.410286
AA,01/12/2019,SEM,3635.896433,4650.442972
AA,01/01/2020,SEM,10921.05209,14787.2367
AA,01/02/2020,SEM,10597.58414,13080.00143
AA,01/03/2020,SEM,16324.71441,18973.70733
AA,01/04/2020,SEM,15533.0745,16308.25421
AA,01/05/2020,SEM,18733.82576,23598.16436
AA,01/06/2020,SEM,21373.25678,24864.92745
AA,01/07/2020,SEM,24162.7188,28781.57865
AA,01/08/2020,SEM,26939.03667,29316.64843
AA,01/09/2020,SEM,24061.81883,30389.80557
AA,01/10/2020,SEM,34312.48273,44673.98408
AA,01/11/2020,SEM,38068.72642,34002.38076
AA,01/12/2020,SEM,36061.33669,36551.00953
AE,01/01/2019,SEM,1594.996892,2702.777143
AE,01/02/2019,SEM,1624.510909,2379.537486
AE,01/03/2019,SEM,2158.486902,4721.765714
AE,01/04/2019,SEM,2598.342214,4059.142857
AE,01/05/2019,SEM,3737.812886,5327.291545
AE,01/06/2019,SEM,3350.57346,6286.652855
AE,01/07/2019,SEM,7566.01783,11024.51793
AE,01/08/2019,SEM,4863.824887,6550.26377
AE,01/09/2019,SEM,5652.825775,9197.34857
AE,01/10/2019,SEM,2866.625477,4219.251429
AE,01/11/2019,SEM,4301.428259,5352.192
AE,01/12/2019,SEM,5793.2695,9532.672285
AE,01/01/2020,SEM,7612.62167,11227.87002
AE,01/02/2020,SEM,6917.2116,9386.686485
AE,01/03/2020,SEM,9039.02216,12911.81138
AE,01/04/2020,SEM,9584.48929,11535.46842
AE,01/05/2020,SEM,9977.9178,16044.32914
AE,01/06/2020,SEM,11672.86747,17156.11625
AE,01/07/2020,SEM,11825.93948,15930.47517
AE,01/08/2020,SEM,13202.36831,18061.16823
AE,01/09/2020,SEM,11952.69871,14827.85128
AE,01/10/2020,SEM,15736.54089,19361.87428
AE,01/11/2020,SEM,11689.7821,18239.33671
AE,01/12/2020,SEM,13311.90658,16879.14951
AR,01/01/2019,SEM,2150.8704,5931.7494
AR,01/02/2019,SEM,3285.764912,6300.457715
AR,01/03/2019,SEM,1087.4812,2394.8633
AR,01/04/2019,SEM,754.740246,1417.397143
AR,01/05/2019,SEM,2192.192116,4245.822
AR,01/06/2019,SEM,3379.853568,7100.756
AR,01/07/2019,SEM,8402.684185,19829.412
AR,01/08/2019,SEM,8171.347995,21404.9404
AR,01/09/2019,SEM,10613.13981,16316.65869
AR,01/10/2019,SEM,15746.1834,24929.424
AR,01/11/2019,SEM,17640.68075,24479.5716
AR,01/12/2019,SEM,21970.63433,30224.907
AR,01/01/2020,SEM,18892.66763,29153.98792
