Country,Month,Department,Total Revenues,Total Spend
AA,01/01/2019,SEO,0,0
AA,01/02/2019,SEO,46.70947279,0
AA,01/03/2019,SEO,554.043886,0
AA,01/04/2019,SEO,673.3969185,0
AA,01/05/2019,SEO,1534.085414,0
AA,01/06/2019,SEO,1295.208549,0
AA,01/07/2019,SEO,2085.898698,0
AA,01/08/2019,SEO,1969.856427,0
AA,01/09/2019,SEO,1847.912379,0
AA,01/10/2019,SEO,777.1078605,0
AA,01/11/2019,SEO,988.178958,0
AA,01/12/2019,SEO,825.7119,0
AA,01/01/2020,SEO,1450.285715,0
AA,01/02/2020,SEO,1116,0
AA,01/03/2020,SEO,1570.014286,0
AA,01/04/2020,SEO,1226.571429,0
AA,01/05/2020,SEO,1595.314286,0
AA,01/06/2020,SEO,1402.342858,0
AA,01/07/2020,SEO,1646.228572,0
AA,01/08/2020,SEO,1714.114286,0
AA,01/09/2020,SEO,1486.142857,0
AA,01/10/2020,SEO,1558.285715,0
AA,01/11/2020,SEO,1448.142857,0
AA,01/12/2020,SEO,1274.857143,0
AE,01/01/2019,SEO,440.351486,0
AE,01/02/2019,SEO,233.2975502,0
AE,01/03/2019,SEO,1634.714482,0
AE,01/04/2019,SEO,1917.317584,0
AE,01/05/2019,SEO,2730.150464,0
AE,01/06/2019,SEO,3312.296475,0
AE,01/07/2019,SEO,4041.844715,0
AE,01/08/2019,SEO,3100.721008,0
AE,01/09/2019,SEO,2687.360434,0
AE,01/10/2019,SEO,1424.2786,0
AE,01/11/2019,SEO,1857.09798,0
AE,01/12/2019,SEO,1271.805424,0
AE,01/01/2020,SEO,3248.914286,0
AE,01/02/2020,SEO,3215.142857,0
AE,01/03/2020,SEO,2402.828571,0
AE,01/04/2020,SEO,3853.928571,0
AE,01/05/2020,SEO,3694.6,0
AE,01/06/2020,SEO,3949.4,0
AE,01/07/2020,SEO,3442.114286,0
AE,01/08/2020,SEO,3852.857143,0
AE,01/09/2020,SEO,4539.857143,0
AE,01/10/2020,SEO,7052.57143,0
AE,01/11/2020,SEO,5875.2,0
AE,01/12/2020,SEO,4914,0
AR,01/01/2019,SEO,370.817258,0
AR,01/02/2019,SEO,540.1396,0
AR,01/03/2019,SEO,540.910386,0
AR,01/04/2019,SEO,399.2361016,0
AR,01/05/2019,SEO,875.50133,0
AR,01/06/2019,SEO,916.9569675,0
AR,01/07/2019,SEO,1376.41425,0
AR,01/08/2019,SEO,1292.930795,0
AR,01/09/2019,SEO,1669.977949,0
AR,01/10/2019,SEO,1923.894882,0
AR,01/11/2019,SEO,2321.579925,0
AR,01/12/2019,SEO,3480.871229,0
AR,01/01/2020,SEO,2653.485715,0
AR,01/02/2020,SEO,1783.6,0
AR,01/03/2020,SEO,1261.714286,0
AR,01/04/2020,SEO,1356.285715,0
AR,01/05/2020,SEO,1470.857143,0
AR,01/06/2020,SEO,1618.571429,0
AR,01/07/2020,SEO,2156,0
AR,01/08/2020,SEO,1923.071429,0
AR,01/09/2020,SEO,1801.428572,0
AR,01/10/2020,SEO,2012.785715,0
AR,01/11/2020,SEO,2606.657143,0
AR,01/12/2020,SEO,2345.142858,0
